denying_approach,removing_approach,honoring_approach,most_impact,mother,age,gender,occupation
7,1,9,Difference-removing feminism,No,20,Female,Student
1,7,3,Difference-removing feminism,No,18,a guy,student
7,2,10,Difference-honoring feminism,No,21,Male,Student
6,8,8,Difference-honoring feminism,No,21,Male,Student
1,1,10,Difference-removing feminism,No,21,female,student
2,6,8,Difference-honoring feminism,No,20,,Student
5,5,7,Difference-honoring feminism,No,19,Male,Student
2,1,9,Difference-denying feminism,No,21,Male,Student
2,3,8,Difference-honoring feminism,No,21,Male,Student
1,3,10,Difference-honoring feminism,No,21,Female,Student